Tür,İlaç,Ruhsat Sahibi,İthal/Yerli,İmal,Menşei,İthalatçı,İhracatçı,Takdim,Etken Madde,Grup,Uygulama,Türler,Açıklama
İlaç,UBROLEXİN 10 g,Boehringer Ingelheim İlaç Tic.aş,İthal,Univet Ltd.,"Boehringer Ingelheim Vetmedica, Inc.",Boehringer Ingelheim İlaç Tic.aş,"Boehringer Ingelheim Vetmedica, Inc.",Karton kutu içerisinde 10 adet meme başı dezenfeksiyon mendiliyle birlikte 10 x 10 g süspansiyon içeren (12 ml'lik) plastik enjektörlerde. Karton kutu içerisinde 20 adet meme başı dezenfeksiyon mendiliyle birlikte 20 x 10 g süspansiyon içeren (12 ml'lik) plastik enjektörlerde.,"10 g ürün içinde ;200 mg sefaleksin, 100,000 IU kanamisin monosülfat",antibakteriyel,meme içi,"Sığır(Besi), Sığır(Süt)",
İlaç,UBROLEXİN 10 g,Boehringer Ingelheim İlaç Tic.aş,İthal,Univet Ltd.,"Boehringer Ingelheim Vetmedica, Inc.",Boehringer Ingelheim İlaç Tic.aş,"Boehringer Ingelheim Vetmedica, Inc.",Karton kutu içerisinde 10 adet meme başı dezenfeksiyon mendiliyle birlikte 10 x 10 g süspansiyon içeren (12 ml'lik) plastik enjektörlerde. Karton kutu içerisinde 20 adet meme başı dezenfeksiyon mendiliyle birlikte 20 x 10 g süspansiyon içeren (12 ml'lik) plastik enjektörlerde.,"10 g ürün içinde ;200 mg sefaleksin, 100,000 IU kanamisin monosülfat",antibakteriyel,meme içi,"Sığır(Besi), Sığır(Süt)",
İlaç,UBROSTAR,Boehringer Ingelheim İlaç Tic.aş,İthal,Lohmann GmbH,"Boehringer Ingelheim Vetmedica, Inc.",Boehringer Ingelheim İlaç Tic.aş,"Boehringer Ingelheim Vetmedica, Inc.",20 x 5 mL meme içi enjektör ve 20 adet antiseptik mendil ile birlikte sunulmaktadır.,"5 ml tüp ürün içinde ;100 mg penethamat hydriodid, 280 mg Benetamin penisilin, 100 mg framisetin sülfat",antibakteriyel,meme içi,Sığır(Süt),
İlaç,UBROSTAR,Boehringer Ingelheim İlaç Tic.aş,İthal,Lohmann GmbH,"Boehringer Ingelheim Vetmedica, Inc.",Boehringer Ingelheim İlaç Tic.aş,"Boehringer Ingelheim Vetmedica, Inc.",20 x 5 mL meme içi enjektör ve 20 adet antiseptik mendil ile birlikte sunulmaktadır.,"5 ml tüp ürün içinde ;100 mg penethamat hydriodid, 280 mg Benetamin penisilin, 100 mg framisetin sülfat",antibakteriyel,meme içi,Sığır(Süt),
İlaç,UBROSTAR,Boehringer Ingelheim İlaç Tic.aş,İthal,Lohmann GmbH,"Boehringer Ingelheim Vetmedica, Inc.",Boehringer Ingelheim İlaç Tic.aş,"Boehringer Ingelheim Vetmedica, Inc.",20 x 5 mL meme içi enjektör ve 20 adet antiseptik mendil ile birlikte sunulmaktadır.,"5 ml tüp ürün içinde ;100 mg penethamat hydriodid, 280 mg Benetamin penisilin, 100 mg framisetin sülfat",antibakteriyel,meme içi,Sığır(Süt),
İlaç,ÜLKEM GLİSERİN İYODE -200,Ülkem İlaç San. Ve Tic. Ltd. Şti,Yerli,Ülkem İlaç San. Ve Tic. Ltd. Şti,-,-,-,160 ml.lik beyaz plastik kavonozlarda,160 mL ürün içinde ;2 g. iyot,antiseptik,haricen-deri,"At, Keçi (Besi), Keçi (Süt), Kedi, Koyun (Besi), Koyun (Süt), Köpek, Sığır(Besi), Sığır(Süt)",
İlaç,ÜLKEM HİNT YAĞI,Ülkem İlaç San. Ve Tic. Ltd. Şti,Yerli,Ülkem İlaç San. Ve Tic. Ltd. Şti,-,-,-,200 ml'lik beyaz plastik kavanozlarda,1 kavanoz ürün içinde ;200 mL hint yağı,sindirim sistemi,oral,"At, Keçi (Süt), Koyun (Besi), Köpek, Sığır(Süt), Keçi (Besi), Kedi, Koyun (Süt), Sığır(Besi)",
İlaç,ÜLKEM İSHALDUR,Ülkem İlaç San. Ve Tic. Ltd. Şti,Yerli,Ülkem İlaç San. Ve Tic. Ltd. Şti,-,-,-,25- 50 ve 100 g. lık plastik şişelerde.,50 g ürün içinde ;16 g bizmut subnitrat,antidiaretik,oral,"At, Keçi (Besi), Keçi (Süt), Kedi, Koyun (Besi), Koyun (Süt), Köpek, Sığır(Besi), Sığır(Süt)",
İlaç,ÜLKEM MAGNESİE CALCİNEE,Ülkem İlaç San. Ve Tic. Ltd. Şti,Yerli,Ülkem İlaç San. Ve Tic. Ltd. Şti,-,-,-,250 gramlık sarı plastik şişelerde,1 şişe ürün içinde ;250 g. magnezyum oksit,sindirim sistemi,oral,"At, Köpek, Sığır(Süt), Kedi, Sığır(Besi)",
İlaç,ÜLKEM MAGNEZYUM SÜLFAT,Ülkem İlaç San. Ve Tic. Ltd. Şti,Yerli,Ülkem İlaç San. Ve Tic. Ltd. Şti,-,-,-,250-500-1000 g'lık plastik sarı şişelerde,1 şişe ürün içinde ;250 g. magnezyum sülfat,sindirim sistemi,oral,"At, Keçi (Süt), Koyun (Besi), Köpek, Sığır(Süt), Keçi (Besi), Kedi, Koyun (Süt), Sığır(Besi)",
Aşı,Ultra-Corn,Tüm-ekip İlaç A.ş,İthal,VIRBAC Laboratories 1ere Avenue M-LID 06516 Carros – France (FRANSA),VIRBAC Laboratories 1ere Avenue M-LID 06516 Carros – France (FRANSA),Tüm-ekip İlaç A.ş,VIRBAC Laboratories 1ere Avenue M-LID 06516 Carros – France (FRANSA),"10x10 ml, 5x10 ml, 10x2 ml lik kutularda",1 ürün içinde ;1 Corynebacterium cutis,,enjeksiyonluk,"Keçi, Koyun, Sığır, KANATLI",
Aşı,Ultrabac 8,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,50 ml (20 koyun- 10 sığır dozu) ve 250 ml (100 koyun - 50 sığır dozu)'lik ambalajlarda,"1 ürün içinde ;1 Clostridium chauvoei, 1 Clostridium septicum, 1 Clostridium haemolyticum, 1 Clostridium novyii, 1 Clostridium sordelli, 1 Clostridium perfringens Tip C, 1 Clostridium perfringens Tip D",,enjeksiyonluk,"Koyun, Sığır",
Aşı,Ultrabac 8,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,50 ml (20 koyun- 10 sığır dozu) ve 250 ml (100 koyun - 50 sığır dozu)'lik ambalajlarda,"1 ürün içinde ;1 Clostridium chauvoei, 1 Clostridium septicum, 1 Clostridium haemolyticum, 1 Clostridium novyii, 1 Clostridium sordelli, 1 Clostridium perfringens Tip C, 1 Clostridium perfringens Tip D",,enjeksiyonluk,"Koyun, Sığır",
Aşı,Ultrabac 8,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,50 ml (20 koyun- 10 sığır dozu) ve 250 ml (100 koyun - 50 sığır dozu)'lik ambalajlarda,"1 ürün içinde ;1 Clostridium chauvoei, 1 Clostridium septicum, 1 Clostridium haemolyticum, 1 Clostridium novyii, 1 Clostridium sordelli, 1 Clostridium perfringens Tip C, 1 Clostridium perfringens Tip D",,enjeksiyonluk,"Koyun, Sığır",
Aşı,Ultrachoice 8,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,"20 ml (10 sığır dozu), 100 ml (50 sığır dozu)","1 ürün içinde ;1 Clostridium chauvoei, 1 Clostridium novyii, 1 Clostridium haemolyticum, 1 Clostridium perfringens Tip C, 1 Clostridium perfringens Tip D, 1 Clostridium septicum, 1 Clostridium sordelli",,enjeksiyonluk,"Koyun, Sığır",
Aşı,Ultrachoice 8,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,"20 ml (10 sığır dozu), 100 ml (50 sığır dozu)","1 ürün içinde ;1 Clostridium chauvoei, 1 Clostridium novyii, 1 Clostridium haemolyticum, 1 Clostridium perfringens Tip C, 1 Clostridium perfringens Tip D, 1 Clostridium septicum, 1 Clostridium sordelli",,enjeksiyonluk,"Koyun, Sığır",
Aşı,Ultrachoice 8,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,"20 ml (10 sığır dozu), 100 ml (50 sığır dozu)","1 ürün içinde ;1 Clostridium chauvoei, 1 Clostridium novyii, 1 Clostridium haemolyticum, 1 Clostridium perfringens Tip C, 1 Clostridium perfringens Tip D, 1 Clostridium septicum, 1 Clostridium sordelli",,enjeksiyonluk,"Koyun, Sığır",
İlaç,UTELAX,VERANO İLAÇ SAN. ve TİC. A.Ş.,Yerli,arion İlaç Sanayi ve Ticaret A.Ş.,-,-,-,"Karton kutu içinde 10, 20, ve 50 ml' lik amber renkli cam flakonlarda sunulmaktadır.",1 ml ürün içinde ;10 mg ısoxsuprine HCL,tokolitik,enjeksiyonluk,"At, Keçi (Süt), Koyun (Süt), Sığır(Süt)",
Aşı,V.A.ChickVac,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,1000 dozluk cam şişelerde 200 ml'lik sulandırıcısı ile birlikte.,1 ürün içinde ;1 Reovirus #1133 suşu,,enjeksiyonluk,"Tavuk, 1-10 günlüğe kadar yaşta civcivler .",İzin Tarih ve No : 13.09.2012-P-0029
Aşı,Vaiol-Vac,Güneşli Aşı -ilaç İthalat İhracat Gıda Üretim San. Ve Tic. A.Ş,İthal,Fatro S.p.a.,Fatro S.p.a.,Güneşli Aşı -ilaç İthalat İhracat Gıda Üretim San. Ve Tic. A.Ş,Fatro S.p.a.,"1000, 2500 ve 5000 dozluk cam şişelerde",1 ürün içinde ;1 Avienpox virus HP2 Suşu,,enjeksiyonluk,Tavuk,
Aşı,VAKDERM,AGRONOMİA ZİRAAT MÜHENDİSLİK BİLGİSAYAR İNŞ. VE TUR. LTD. ŞTİ.,İthal,Vetzvetrocenter,Vetzvetrocenter,AGRONOMİA ZİRAAT MÜHENDİSLİK BİLGİSAYAR İNŞ. VE TUR. LTD. ŞTİ.,Vetzvetrocenter,1-5-15 DOZLUK AMBALAJLARDA,"1 ml ürün içinde ;30-50 milyon Microsporum canis, 30-50 milyon Microsporum gypseum, 30-50 milyon Trihcophyton mentagrophytes",,enjeksiyonluk,"Kedi, Köpek",tavşanlarda da kullanılır ruhsat numarası P-0030 dur
Aşı,VAKDERM,AGRONOMİA ZİRAAT MÜHENDİSLİK BİLGİSAYAR İNŞ. VE TUR. LTD. ŞTİ.,İthal,Vetzvetrocenter,Vetzvetrocenter,AGRONOMİA ZİRAAT MÜHENDİSLİK BİLGİSAYAR İNŞ. VE TUR. LTD. ŞTİ.,Vetzvetrocenter,1-5-15 DOZLUK AMBALAJLARDA,"1 ml ürün içinde ;30-50 milyon Microsporum canis, 30-50 milyon Microsporum gypseum, 30-50 milyon Trihcophyton mentagrophytes",,enjeksiyonluk,"Kedi, Köpek",tavşanlarda da kullanılır ruhsat numarası P-0030 dur
Aşı,VAKDERM,AGRONOMİA ZİRAAT MÜHENDİSLİK BİLGİSAYAR İNŞ. VE TUR. LTD. ŞTİ.,İthal,Vetzvetrocenter,Vetzvetrocenter,AGRONOMİA ZİRAAT MÜHENDİSLİK BİLGİSAYAR İNŞ. VE TUR. LTD. ŞTİ.,Vetzvetrocenter,1-5-15 DOZLUK AMBALAJLARDA,"1 ml ürün içinde ;30-50 milyon Microsporum canis, 30-50 milyon Microsporum gypseum, 30-50 milyon Trihcophyton mentagrophytes",,enjeksiyonluk,"Kedi, Köpek",tavşanlarda da kullanılır ruhsat numarası P-0030 dur
Aşı,Vanguard CV,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,50 doz aşı içeren plastik kutularda,1 ürün içinde ;1 Canine corona virus (CCV) NL-18 suşu,,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus 5 4/L,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı içeren plastik kutular içinde,"1 ürün içinde ;1 Canine Distemper virusu; Synder Hill suşu, 1 Canine Adenovirus Tip 2; Manhattan suşu, 1 Canine Parainfluenza virusu; NL-CPI-S suşu, 1 Leptospira canicola C-51 suşu, 1 Leptospira icterohaemorrhagie; NADL 11403, 1 Leptospira pomona T262 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus 5 4/L,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı içeren plastik kutular içinde,"1 ürün içinde ;1 Canine Distemper virusu; Synder Hill suşu, 1 Canine Adenovirus Tip 2; Manhattan suşu, 1 Canine Parainfluenza virusu; NL-CPI-S suşu, 1 Leptospira canicola C-51 suşu, 1 Leptospira icterohaemorrhagie; NADL 11403, 1 Leptospira pomona T262 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus 5 4/L,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı içeren plastik kutular içinde,"1 ürün içinde ;1 Canine Distemper virusu; Synder Hill suşu, 1 Canine Adenovirus Tip 2; Manhattan suşu, 1 Canine Parainfluenza virusu; NL-CPI-S suşu, 1 Leptospira canicola C-51 suşu, 1 Leptospira icterohaemorrhagie; NADL 11403, 1 Leptospira pomona T262 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus 5 4/L,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı içeren plastik kutular içinde,"1 ürün içinde ;1 Canine Distemper virusu; Synder Hill suşu, 1 Canine Adenovirus Tip 2; Manhattan suşu, 1 Canine Parainfluenza virusu; NL-CPI-S suşu, 1 Leptospira canicola C-51 suşu, 1 Leptospira icterohaemorrhagie; NADL 11403, 1 Leptospira pomona T262 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus 5 4/L,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı içeren plastik kutular içinde,"1 ürün içinde ;1 Canine Distemper virusu; Synder Hill suşu, 1 Canine Adenovirus Tip 2; Manhattan suşu, 1 Canine Parainfluenza virusu; NL-CPI-S suşu, 1 Leptospira canicola C-51 suşu, 1 Leptospira icterohaemorrhagie; NADL 11403, 1 Leptospira pomona T262 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus 5 4/L,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı içeren plastik kutular içinde,"1 ürün içinde ;1 Canine Distemper virusu; Synder Hill suşu, 1 Canine Adenovirus Tip 2; Manhattan suşu, 1 Canine Parainfluenza virusu; NL-CPI-S suşu, 1 Leptospira canicola C-51 suşu, 1 Leptospira icterohaemorrhagie; NADL 11403, 1 Leptospira pomona T262 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus 5L,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı içeren plastik kutularda,"1 ürün içinde ;1 C. distemper virus N-CDV suşu, 1 CAV2 Tip2 Manhattan suşu, 1 CPI Virüs NL-CPI-5 suşu, 1 CPV NL-35-D suşu, 1 L.canicola C-51 suşu, 1 L. icterohaemorrhagiae NADL 11403 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus 5L,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı içeren plastik kutularda,"1 ürün içinde ;1 C. distemper virus N-CDV suşu, 1 CAV2 Tip2 Manhattan suşu, 1 CPI Virüs NL-CPI-5 suşu, 1 CPV NL-35-D suşu, 1 L.canicola C-51 suşu, 1 L. icterohaemorrhagiae NADL 11403 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus 5L,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı içeren plastik kutularda,"1 ürün içinde ;1 C. distemper virus N-CDV suşu, 1 CAV2 Tip2 Manhattan suşu, 1 CPI Virüs NL-CPI-5 suşu, 1 CPV NL-35-D suşu, 1 L.canicola C-51 suşu, 1 L. icterohaemorrhagiae NADL 11403 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus 5L,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı içeren plastik kutularda,"1 ürün içinde ;1 C. distemper virus N-CDV suşu, 1 CAV2 Tip2 Manhattan suşu, 1 CPI Virüs NL-CPI-5 suşu, 1 CPV NL-35-D suşu, 1 L.canicola C-51 suşu, 1 L. icterohaemorrhagiae NADL 11403 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus 5L,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı içeren plastik kutularda,"1 ürün içinde ;1 C. distemper virus N-CDV suşu, 1 CAV2 Tip2 Manhattan suşu, 1 CPI Virüs NL-CPI-5 suşu, 1 CPV NL-35-D suşu, 1 L.canicola C-51 suşu, 1 L. icterohaemorrhagiae NADL 11403 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus 5L,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı içeren plastik kutularda,"1 ürün içinde ;1 C. distemper virus N-CDV suşu, 1 CAV2 Tip2 Manhattan suşu, 1 CPI Virüs NL-CPI-5 suşu, 1 CPV NL-35-D suşu, 1 L.canicola C-51 suşu, 1 L. icterohaemorrhagiae NADL 11403 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus CPV/CV,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,50 doz aşı içeren plastik kutularda,"1 ürün içinde ;1 Canin parvovirus (CPV) NL35-D suşu, 1 Canine corona virus (CCV) NL-18 suşu",,enjeksiyonluk,Köpek,
Aşı,Vanguard Plus CPV/CV,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,50 doz aşı içeren plastik kutularda,"1 ürün içinde ;1 Canin parvovirus (CPV) NL35-D suşu, 1 Canine corona virus (CCV) NL-18 suşu",,enjeksiyonluk,Köpek,
İlaç,VARROASON,İlteriş İlaç San.limited Şirketi,Yerli,İlteriş İlaç San.limited Şirketi,-,-,-,"10x39 cm lik karton kağıt. Her biri polietilen kaplı poşetler içerisinde olup, bir kutuda 4 adet bu şekilde hazırlanmış kirli beyaz renkte karton içeren poşet bulunur. 10x39 cm lik karton kağıt 3x10 cm lik 13 adet şeritten oluşur. İlacın dış ambalajı yeşil renktedir.",1 adet tütsü kağıdı ürün içinde ;20.5 mg amitraz,ektoparaziter,kovan içi,Arı,
İlaç,VARROSET,SANTAVET İLAÇ SAN. TİC. LTD. ŞTİ.,Yerli,ALBAFARMA İLAÇ VE PREMİKS SAN.LTD. ŞTİ,-,-,-,polietilen laminasyonlu sarı renkli kağıt bir torba içine 8x20 cm ebadındaki oluklu karton şeklindeki tütsü kağıdı konulmuş olup bu kağıt torbanın 2 veya 3 adedi bir karton kutu içine yerleştirilerek arz edilmiştir. ( 2 veya 3 tütsü kağıdı içeren karton kutularda ).,1 adet tütsü kağıdı ürün içinde ;400 mg amitraz,ektoparaziter,kovan içi,Arı,
İlaç,VASODIL,Provet Veteriner Ürünleri San. Tic.ltd. Şti.,Yerli,Provet Veteriner Ürünleri San. Tic.ltd. Şti.,-,-,-,"Karton kutuda 10,20 ,50 ve 100 ml.lik bal rengi cam flakonlarda arzedilir.",1 ml ürün içinde ;20 mg adenozin 5 monofosfat,vazodilatatör,enjeksiyonluk,"At, Köpek",
Aşı,Vaxsafe MG,Rta Laboratuvarları Biyolojik Ürünler İlaç San.ve Tic. Ltd.şti.,İthal,Bioproperties Pty Ltd,Bioproperties Pty Ltd,Rta Laboratuvarları Biyolojik Ürünler İlaç San.ve Tic. Ltd.şti.,Bioproperties Pty Ltd,1.000 Doz,doz ürün içinde ;31.622.776.6 CCU Mycoplasma gallisepticum ts-11,,göz,Tavuk,DAMIZLIK SÜRÜLERDE KULLANILAMAZ.
Aşı,VBR Chauvoei,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,Yerli,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,-,-,-,50ml,"1 ml ürün içinde ;Kobaylarda en az %90 koruma Clostridium chauvoei, <1.85g/L Formaldehit, %0,01 Thiomerosal, Adjuvant Alüminyum hidroksit",,enjeksiyonluk,Sığır,
Aşı,VBR Chauvoei,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,Yerli,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,-,-,-,50ml,"1 ml ürün içinde ;Kobaylarda en az %90 koruma Clostridium chauvoei, <1.85g/L Formaldehit, %0,01 Thiomerosal, Adjuvant Alüminyum hidroksit",,enjeksiyonluk,Sığır,
Aşı,VBR Coli Sera + C Kombine Antiserum,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,Yerli,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,-,-,-,"10 ml, 30 ml, 50 ml, 100 ml","1 ürün içinde ;1 Clostridium perfringens Tip C, 1 E. coli antijenlerine karşı spesifik antikor",,enjeksiyonluk,"Keçi, Sığır, Koyun","Buzağı, Kuzu, Oğlak Hiperimmun Serum İzin No: PY-0006"
Aşı,VBR Colimix 7,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,Yerli,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,-,-,-,50 ML,"ml ürün içinde ;Kobaylarda En Az % 90 Koruma Clostridium chauvoei, ?10.0 IU/ml Clostridium perfringens Tip B ve C ß Antitoksin, ? 5.0 IU/ml Clostridium perfringens Tip D Epsilon Antitoksin, ? 3.5 IU/ml Clostridium novyii Alfa antitoksin, ? 2.5 IU/ml Clostridium septicum Alfa antitoksin, > 100 AU Escherichia coli K99/F41/F17(Fy), %0,01 Thiomerosal, 1.85g/L Formaldehit, Adjuvant Alüminyum hidroksit",,enjeksiyonluk,"Keçi, Sığır, Koyun",
Aşı,VBR Colimix 7,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,Yerli,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,-,-,-,50 ML,"ml ürün içinde ;Kobaylarda En Az % 90 Koruma Clostridium chauvoei, ?10.0 IU/ml Clostridium perfringens Tip B ve C ß Antitoksin, ? 5.0 IU/ml Clostridium perfringens Tip D Epsilon Antitoksin, ? 3.5 IU/ml Clostridium novyii Alfa antitoksin, ? 2.5 IU/ml Clostridium septicum Alfa antitoksin, > 100 AU Escherichia coli K99/F41/F17(Fy), %0,01 Thiomerosal, 1.85g/L Formaldehit, Adjuvant Alüminyum hidroksit",,enjeksiyonluk,"Keçi, Sığır, Koyun",
Aşı,VBR Colimix 7,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,Yerli,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,-,-,-,50 ML,"ml ürün içinde ;Kobaylarda En Az % 90 Koruma Clostridium chauvoei, ?10.0 IU/ml Clostridium perfringens Tip B ve C ß Antitoksin, ? 5.0 IU/ml Clostridium perfringens Tip D Epsilon Antitoksin, ? 3.5 IU/ml Clostridium novyii Alfa antitoksin, ? 2.5 IU/ml Clostridium septicum Alfa antitoksin, > 100 AU Escherichia coli K99/F41/F17(Fy), %0,01 Thiomerosal, 1.85g/L Formaldehit, Adjuvant Alüminyum hidroksit",,enjeksiyonluk,"Keçi, Sığır, Koyun",
Aşı,VBR Colimix 7,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,Yerli,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,-,-,-,50 ML,"ml ürün içinde ;Kobaylarda En Az % 90 Koruma Clostridium chauvoei, ?10.0 IU/ml Clostridium perfringens Tip B ve C ß Antitoksin, ? 5.0 IU/ml Clostridium perfringens Tip D Epsilon Antitoksin, ? 3.5 IU/ml Clostridium novyii Alfa antitoksin, ? 2.5 IU/ml Clostridium septicum Alfa antitoksin, > 100 AU Escherichia coli K99/F41/F17(Fy), %0,01 Thiomerosal, 1.85g/L Formaldehit, Adjuvant Alüminyum hidroksit",,enjeksiyonluk,"Keçi, Sığır, Koyun",
Aşı,VBR Colimix 7,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,Yerli,Ata Fen Vet. Malz. Hay. Paz. San. Ve Tic.a. Ş..,-,-,-,50 ML,"ml ürün içinde ;Kobaylarda En Az % 90 Koruma Clostridium chauvoei, ?10.0 IU/ml Clostridium perfringens Tip B ve C ß Antitoksin, ? 5.0 IU/ml Clostridium perfringens Tip D Epsilon Antitoksin, ? 3.5 IU/ml Clostridium novyii Alfa antitoksin, ? 2.5 IU/ml Clostridium septicum Alfa antitoksin, > 100 AU Escherichia coli K99/F41/F17(Fy), %0,01 Thiomerosal, 1.85g/L Formaldehit, Adjuvant Alüminyum hidroksit",,enjeksiyonluk,"Keçi, Sığır, Koyun",
